Economy,Year,Population
MAS,2043,39360.772
MEX,2043,151740.131999999
NZ,2043,5493.293
PNG,2043,13016.12
PE,2043,39171.666
RP,2043,138601.775999999
RUS,2043,137949.04
SIN,2043,6452.433
CT,2043,23299.259
THA,2043,68257.808
USA,2043,370746.305
VN,2043,108502.624
AUS,2044,31477.766
BD,2044,491.954
CDA,2044,44393.406
CHL,2044,20278.708
PRC,2044,1433854.12
HKC,2044,8115.96099999999
INA,2044,324442.07
JPN,2044,110288.3
KOR,2044,48769.677
MAS,2044,39548.357
MEX,2044,152330.831
NZ,2044,5511.82
PNG,2044,13188.99
PE,2044,39364.97
RP,2044,139535.238
RUS,2044,137618.025999999
SIN,2044,6450.679
CT,2044,23186.81
THA,2044,67973.162
USA,2044,372060.394
VN,2044,108709.692
AUS,2045,31702.144
BD,2045,492.384
CDA,2045,44611.362
CHL,2045,20296.684
PRC,2045,1429312.245
HKC,2045,8105.793
INA,2045,325705.345
JPN,2045,109529.352
KOR,2045,48479.728
MAS,2045,39729.694
MEX,2045,152887.033
NZ,2045,5529.569
PNG,2045,13360.906
PE,2045,39551.257
RP,2045,140438.213
RUS,2045,137298.524
SIN,2045,6447.175
CT,2045,23068.795
THA,2045,67672.072
USA,2045,373343.357
VN,2045,108901.041
AUS,2046,31925.961
BD,2046,492.676
CDA,2046,44826.844
CHL,2046,20309.993
PRC,2046,1424476.521
HKC,2046,8094.354
INA,2046,326892.322
JPN,2046,108775.261
KOR,2046,48176.623
MAS,2046,39905.065
MEX,2046,153408.998
NZ,2046,5546.57199999999
PNG,2046,13531.839
PE,2046,39730.464
RP,2046,141310.851
RUS,2046,136989.919
SIN,2046,6442.025
CT,2046,22945.726
THA,2046,67355.05
USA,2046,374598.068
VN,2046,109076.751
AUS,2047,32149.253
BD,2047,492.827
CDA,2047,45040.171
CHL,2047,20318.734
PRC,2047,1419358.625
HKC,2047,8081.851
INA,2047,328003.996
JPN,2047,108025.99
KOR,2047,47860.608
MAS,2047,40074.627
MEX,2047,153896.747
NZ,2047,5562.882
PNG,2047,13701.743
PE,2047,39902.535
RP,2047,142152.969
RUS,2047,136691.346999999
SIN,2047,6435.31699999999
CT,2047,22817.979
THA,2047,67022.652
USA,2047,375827.634
VN,2047,109236.674
AUS,2048,32371.843
BD,2048,492.83
CDA,2048,45251.593
CHL,2048,20323.082
PRC,2048,1413967.251
HKC,2048,8068.58699999999
INA,2048,329041.879
JPN,2048,107281.347
KOR,2048,47531.236
MAS,2048,40238.61
MEX,2048,154349.943
NZ,2048,5578.512
PNG,2048,13870.481
PE,2048,40067.277
RP,2048,142963.816999999
RUS,2048,136399.881999999
SIN,2048,6427.251
CT,2048,22686.171
THA,2048,66675.564
USA,2048,377037.244
VN,2048,109379.296
AUS,2049,32593.518
BD,2049,492.692
CDA,2049,45461.265
CHL,2049,20323.217
PRC,2049,1408312.31
HKC,2049,8054.884
INA,2049,330008.087
JPN,2049,106540.925
KOR,2049,47187.764
MAS,2049,40397.165
MEX,2049,154768.043
NZ,2049,5593.464
PNG,2049,14037.961
PE,2049,40224.491
RP,2049,143742.427
RUS,2049,136111.929
SIN,2049,6417.931
CT,2049,22550.98
THA,2049,66314.572
USA,2049,378232.679
VN,2049,109502.617
AUS,2050,32814.106
BD,2050,492.391
CDA,2050,45669.453
CHL,2050,20319.303
PRC,2050,1402405.167
HKC,2050,8041.04199999999
INA,2050,330904.672
JPN,2050,105804.023
KOR,2050,46829.924
MAS,2050,40550.371
MEX,2050,155150.814
NZ,2050,5607.793
PNG,2050,14204.06
PE,2050,40373.987
RP,2050,144488.171
RUS,2050,135824.486
SIN,2050,6407.528
CT,2050,22412.979
THA,2050,65940.494
USA,2050,379419.097
VN,2050,109605.01
